Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume,ReTX
1.59E+12,4/17/20 04:00,BTCUSD,7095.71,7159.64,7000.67,7104.85,1408.373987,-0.019633952
1.59E+12,4/16/20 04:00,BTCUSD,6661.49,7219.34,6633.72,7095.71,4688.639059,-0.001286445
1.59E+12,4/15/20 04:00,BTCUSD,6911.93,6936.12,6472.26,6661.49,2575.766143,-0.061194722
1.59E+12,4/14/20 04:00,BTCUSD,6903.82,6987.94,6775,6911.93,1771.509927,0.037595193
1.59E+12,4/13/20 04:00,BTCUSD,6688.22,6924,6621.21,6903.82,2543.09227,-0.001173334
1.59E+12,4/12/20 04:00,BTCUSD,6819.05,7203.19,6562,6688.22,2323.321289,-0.031229088
1.59E+12,4/11/20 04:00,BTCUSD,6922.02,6954.63,6775,6819.05,919.4380004,0.019561258
1.59E+12,4/10/20 04:00,BTCUSD,7181.24,7181.24,6755,6922.02,2547.078278,0.015100344
1.59E+12,4/9/20 04:00,BTCUSD,7291.99,7366.28,7115.04,7181.24,2248.290853,0.037448606
1.59E+12,4/8/20 04:00,BTCUSD,7355.98,7432.23,7207.5,7291.99,2373.547701,0.015422128
1.59E+12,4/7/20 04:00,BTCUSD,7329.68,7468.42,7078,7355.98,2118.958484,0.008775382
1.59E+12,4/6/20 04:00,BTCUSD,6848.94,7465,6848.94,7329.68,3955.679662,-0.003575322
1.59E+12,4/5/20 04:00,BTCUSD,6802.53,6895.69,6678.6,6848.94,1303.232758,-0.065588129
1.59E+12,4/4/20 04:00,BTCUSD,6702.98,7016,6658.68,6802.53,1760.568541,-0.006776231
1.59E+12,4/3/20 04:00,BTCUSD,6787.4,7048.72,6609.47,6702.98,2772.697373,-0.014634261
1.59E+12,4/2/20 04:00,BTCUSD,6623.92,7273,6585.17,6787.4,5005.895472,0.012594398
1.59E+12,4/1/20 04:00,BTCUSD,6383.69,6767.57,6156.47,6623.92,3049.063349,-0.024085806
1.59E+12,3/31/20 04:00,BTCUSD,6450,6519.21,6256.87,6383.69,1522.942312,-0.036267044
1.59E+12,3/30/20 04:00,BTCUSD,6011.5,6629.18,6000,6450,2952.403882,0.010387409
1.59E+12,3/29/20 04:00,BTCUSD,6219.79,6226.64,5857.41,6011.5,2167.778007,-0.067984496
